id,title,year,genre,technique,support,dimensions_h_w,location,url_imagine
136,Springbrunnen in Rom,1920,cityscape,oil,cardboard,9.09 x 18.11,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FqClczKdOSTYY1DriUaysJQ%2Flarger.jpg&width=400
137,Straßenszene Im Berliner Tiergarten Mit Dame,1915,genre scene,charcoal,paper,72.01 x 49.4,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F2q8E2RPARotrJH4vGfxtKw%2Flarger.jpg&width=400
138,Wiesenlandschaft mit Bauernhäusern (Küstendorf),1878,landscape,pastel,board,35.31 x 49,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FHRqFBGKCHTbkmDhYHeuoaQ%2Flarger.jpg&width=400
139,Gardasee (Gardone),1900,landscape,pastel,board,35.51 x 50.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-1yD-Fmqh_Ot2goIe6Gmhg%2Flarger.jpg&width=400
140,Gardasee mit Blick auf den Monte Baldo,1894,landscape,pastel,board,35 x 49.5,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FOWY8e89Pai4Qa9p92UcSMg%2Flarger.jpg&width=400
141,Kaffeeterrasse Unter Den Linden,1920,interior scene,litograph,paper,19.51 x 27,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FoJTTbmAcrWyB4HrhQk6zzw%2Flarger.jpg&width=400
142,Rauchender Zeitungsleser Im Profil,1920,genre scene,etching,wove paper,15.01 x 11.51,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FPmXR6FpzeZLfqU3pGWmxZQ%2Flarger.jpg&width=400
143,Lesende Dame Im Kaffee I,1919,interior scene,litograph,paper,25.7 x 15.49,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FkfqGPuHLUoyl4Ib2wmnzFA%2Flarger.jpg&width=400
144,Abend Im Café Bauer In Berlin,1919,interior scene,litograph,paper,37.21 x 25.5,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F_3pKt6ycLTaClF9zngqXrg%2Flarger.jpg&width=400
145,Junges Mädchen Im Kaffee Mit Straßenblick,1924,interior scene,etching,laid paper,19.71 x 15.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FnTcUsVADVYpeP0-Ehe_5MQ%2Flarger.jpg&width=400
146,Zeitungsleser Im Kaffee Mit Stuhllehne Im Vordergrund,1920,interior scene,etching,wove paper,10.21 x 7.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FQXHPFuuRHs0N7la8CHcwDg%2Flarger.jpg&width=400
147,Bockwindmühle Vor Sonnenuntergang,1903,landscape,pastel,cardboard,97 x 70.51,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FscdPHiMbIY8Lw76ckDD0Uw%2Flarger.jpg&width=400
148,Landschaft Mit Weißbirken,1890,landscape,oil,canvas,87 x 53.49,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FayDfXiBXHu-o8WeDjIUyXw%2Flarger.jpg&width=400
149,Frau Bei Der Gartenarbeit,1885,genre scene,oil,canvas,25.5 x 31.5,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FsvmU4kHUiM0fnJWizastbg%2Flarger.jpg&width=400
150,Abendstimmung am Grunewaldsee,1910,landscape,oil,canvas,115.49 x 85.39,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Frt4-ThwcBIUoOBBjETzT0g%2Flarger.jpg&width=400
151,"Champs-Elysées mit Arc de Triomphe, Paris",1928,cityscape,pastel,board,35.2 x 50.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FFJXSYDVsFn3Dto_tfwn0og%2Flarger.jpg&width=400
